family,count,status,vendor_profile,slugs
ms-visio,3,queued,,ms-visio-pro-2019 ms-visio-pro-2024 ms-visio-std-2021
ni-komplete,3,queued,,ni-komplete-sel ni-komplete-std ni-komplete-ult
prfrc-p4,3,queued,,prfrc-p4-cloud prfrc-p4-platform prfrc-p4-scale
shutter-img,3,queued,,shutter-img-10 shutter-img-350 shutter-img-50
sketchup-pro,3,queued,,sketchup-pro-civil sketchup-pro-scan sketchup-pro
wndr-filmora,3,queued,,wndr-filmora-annual wndr-filmora-team wndr-filmora-xplat
adobe-express,2,queued,,adobe-express-team adobe-express
adobe-firefly,2,queued,,adobe-ff-enterprise adobe-ff-teams
adobe-substance,2,queued,,adobe-substance-team adobe-substance
anthropic-team,2,queued,,anthropic-team-premium anthropic-team
avid-mc,2,queued,,avid-mc-sub avid-mc-ult
bitdefender-gravityzone,2,queued,,bitdefender-gravityzone-business bitdefender-gravityzone-premium
box-business,2,queued,,box-business-plus box-business
browserstack-live,2,queued,,browserstack-live-team-pro browserstack-live-team
cdr-gs,2,queued,,cdr-gs-biz cdr-gs-sub
chatgpt-business,2,queued,,chatgpt-business-premium chatgpt-business
cursor-business,2,queued,,cursor-business-premium cursor-business
freepik-premium,2,queued,,freepik-premium-plus freepik-premium
gemini-workspace,2,queued,,gemini-workspace-enterprise gemini-workspace-standard
gitlab-premium,2,queued,,gitlab-premium-saas gitlab-premium-self-managed
izotope-ozone,2,queued,,izotope-ozone-advanced izotope-ozone-standard
lumion-pro,2,queued,,lumion-pro-floating lumion-pro
maxon-c4d,2,done,,maxon-c4d-teams maxon-c4d
maxon-one,2,done,,maxon-one-teams maxon-one
me-adaudit,2,done,,me-adaudit-plus-professional-2-domain-controllers me-adaudit-plus-standard-2-domain-controllers
me-analytics,2,done,,me-analytics-plus-professional-5-concurrent-guests-pack me-analytics-plus-standard-5-concurrent-guests-pack
me-applications,2,done,,me-applications-manager-enterprise-100-monitors-with-1-user me-applications-manager-professional-10-monitors-with-1-user
me-ddi,2,done,,me-ddi-central-enterprise-5-dns-clusters-5-dhcp-clusters-5-ntp-servers me-ddi-central-professional-2-dns-clusters-2-dhcp-clusters-3-ntp-servers
me-exchange,2,done,,me-exchange-reporter-plus-professional-100-mailboxes me-exchange-reporter-plus-standard-100-mailboxes
me-network,2,done,,me-network-configuration-manager-enterprise-250-devices-pack-with-2-users me-network-configuration-manager-professional-10-devices-pack-with-2-users
me-oputils,12,done,,me-oputils-professional-250-used-switch-ports-in-spm-and-250-used-ip me-oputils-professional-250-used-switch-ports-in-spm-and-250-used-ip-perp me-oputils-management-250-used-switch-ports-in-spm-and-250-used-ip me-oputils-management-250-used-switch-ports-in-spm-and-250-used-ip-perp me-oputils-professional-every-additional-250-used-ports-in-switch-po me-oputils-professional-every-additional-250-used-ports-in-switch-po-perp me-oputils-management-every-additional-250-used-ports-in-switch-po me-oputils-management-every-additional-250-used-ports-in-switch-po-perp me-oputils-professional-every-additional-250-used-ip-addresses-in-ip me-oputils-professional-every-additional-250-used-ip-addresses-in-ip-perp me-oputils-management-every-additional-250-used-ip-addresses-in-ip me-oputils-management-every-additional-250-used-ip-addresses-in-ip-perp
me-os,2,done,,me-os-deployer-enterprise-10-servers me-os-deployer-professional-10-servers
me-remote,2,done,,me-remote-access-plus-professional-25-computers-and-5-users me-remote-access-plus-standard-25-computers-and-5-users
me-sharepoint,2,done,,me-sharepoint-manager-plus-professional-1-farm-m365-tenant me-sharepoint-manager-plus-standard-1-farm-m365-tenant
me-vulnerability,2,done,,me-vulnerability-manager-plus-enterprise-10-servers-and-single-user-license me-vulnerability-manager-plus-professional-10-servers-and-single-user-license
ms-visual,2,queued,,ms-visual-studio-pro-2019 ms-visual-studio-pro-2022
mvls-ent,2,queued,,mvls-ent-linux mvls-ent-y
perplexity-enterprise,2,queued,,perplexity-enterprise-max perplexity-enterprise-pro
solidworks-xdesign,2,queued,,solidworks-xdesign-quarterly solidworks-xdesign-yearly
spdtr-pro,2,queued,,spdtr-pro-fl spdtr-pro-nl
tlstr-wirecast,2,queued,,tlstr-wirecast-pro tlstr-wirecast-studio
toonboom-harmony,2,queued,,toonboom-harmony-advanced toonboom-harmony-premium
xai-supergrok,2,queued,,xai-supergrok-heavy xai-supergrok
adobe-single,1,done,,adobe-single-team
adobe-stock,1,queued,,adobe-stock-10
adsk-3dsmax,1,queued,,adsk-3dsmax
adsk-maya,1,queued,,adsk-maya
adsk-mecoll,1,queued,,adsk-mecoll
adsk-motionbuilder,1,queued,,adsk-motionbuilder
adsk-mudbox,1,queued,,adsk-mudbox
airalo-gift,1,queued,,airalo-gift-card
anthropic-enterprise,1,queued,,anthropic-enterprise
anydesk-advanced,1,queued,,anydesk-advanced
anydesk-namespace,1,queued,,anydesk-namespace
anydesk-solo,1,queued,,anydesk-solo
anydesk-standard,1,queued,,anydesk-standard
app-store,1,queued,,app-store-itunes-gift-card
artlst-pro,1,queued,,artlst-pro
artlst-social,1,queued,,artlst-social
artlst-teams,1,queued,,artlst-teams
astute-bundle,1,queued,,astute-bundle
binance-btc,1,queued,,binance-btc-gift-card
binance-usdc,1,queued,,binance-usdc-gift-card
binance-usdt,1,queued,,binance-usdt-gift-card
bitdefender-premium,1,queued,,bitdefender-premium-security-family
bitdefender-total,1,queued,,bitdefender-total-security-family
bitdefender-ultimate,1,queued,,bitdefender-ultimate-security-family
bmd-resolve,1,queued,,bmd-resolve-studio
boris-continuum,1,queued,,boris-continuum-sub
boris-mocha,1,queued,,boris-mocha-sub
boris-sapphire,1,queued,,boris-sapphire-sub
boris-suite,1,queued,,boris-suite-sub
canva-business,1,queued,,canva-business
canva-ent,1,queued,,canva-ent
canva-pro,1,queued,,canva-pro
capcut-pro,1,queued,,capcut-pro
capcut-team,1,queued,,capcut-team
capture-one,1,queued,,capture-one-pro
cdr-painter,1,queued,,cdr-painter-sub
cloudflare-business,1,queued,,cloudflare-business
cloudflare-pro,1,queued,,cloudflare-pro
confluence-premium,1,queued,,confluence-premium
confluence-standard,1,queued,,confluence-standard
csp-ex,1,queued,,csp-ex-sub
csp-pro,1,queued,,csp-pro-sub
cubase-artist,1,queued,,cubase-artist
cubase-elements,1,queued,,cubase-elements
cubase-pro,1,queued,,cubase-pro
cursor-enterprise,1,queued,,cursor-enterprise
deepl-advanced,1,queued,,deepl-advanced
deepl-business,1,queued,,deepl-business
deepl-starter,1,queued,,deepl-starter
deposit-pack,1,queued,,deposit-pack-100
deposit-unl,1,queued,,deposit-unl-year
discord-nitro,1,queued,,discord-nitro-gift-card
docker-business,1,queued,,docker-business
docker-pro,1,queued,,docker-pro
docker-team,1,queued,,docker-team
dropbox-advanced,1,queued,,dropbox-advanced
dropbox-plus,1,queued,,dropbox-plus
dropbox-standard,1,queued,,dropbox-standard
dscrpt-business,1,queued,,dscrpt-business
dscrpt-creator,1,queued,,dscrpt-creator
dscrpt-ent,1,queued,,dscrpt-ent
eleven-creator,1,queued,,eleven-creator
eleven-ent,1,queued,,eleven-ent
eleven-pro,1,queued,,eleven-pro
eleven-scale,1,queued,,eleven-scale
envato-core,1,queued,,envato-core
envato-plus,1,queued,,envato-plus
envato-team,1,queued,,envato-team-core
epsnd-commercial,1,queued,,epsnd-commercial
epsnd-personal,1,queued,,epsnd-personal
fmod-basic,1,queued,,fmod-basic
fmod-indie,1,queued,,fmod-indie
fmod-premium,1,queued,,fmod-premium
fndry-katana,1,queued,,fndry-katana-team
fndry-mari,1,queued,,fndry-mari
fndry-nukex,1,queued,,fndry-nukex
framer-basic,1,queued,,framer-basic
framer-ent,1,queued,,framer-ent
framer-pro,1,queued,,framer-pro
framer-scale,1,queued,,framer-scale
gaea-ent,1,queued,,gaea-ent
gaea-indie,1,queued,,gaea-indie
gaea-pro,1,queued,,gaea-pro
gamma-business,1,queued,,gamma-business
gamma-pro,1,queued,,gamma-pro
ghcopilot-business,1,queued,,ghcopilot-business
ghcopilot-enterprise,1,queued,,ghcopilot-enterprise
grammarly-business,1,queued,,grammarly-business
grammarly-enterprise,1,queued,,grammarly-enterprise
hailuo-master,1,queued,,hailuo-master
hailuo-max,1,queued,,hailuo-max
hailuo-pro,1,queued,,hailuo-pro
hailuo-standard,1,queued,,hailuo-standard
heygen-business,1,queued,,heygen-business
heygen-ent,1,queued,,heygen-ent
heygen-pro,1,queued,,heygen-pro
higgsfield-pro,1,queued,,higgsfield-pro
hou-core,1,queued,,hou-core
hou-engine,1,queued,,hou-engine-ws
hou-fx,1,queued,,hou-fx
hou-indie,1,queued,,hou-indie
int-design,1,queued,,int-design-figma
int-dev,1,queued,,int-dev-jetbrains
int-eng,1,queued,,int-eng-autocad
int-office,1,queued,,int-office-m365
izotope-neutron,1,queued,,izotope-neutron
izotope-rx,1,queued,,izotope-rx-standard
jasper-business,1,queued,,jasper-business
jasper-pro,1,queued,,jasper-pro
jb-datalore,1,queued,,jb-datalore
jb-qodana,1,queued,,jb-qodana
jb-teamcity,1,queued,,jb-teamcity
jb-youtrack,1,queued,,jb-youtrack
jira-premium,1,queued,,jira-premium
jira-standard,1,queued,,jira-standard
kimi-subscription,1,queued,,kimi-subscription
kling-premier,1,queued,,kling-premier
kling-pro,1,queued,,kling-pro
kling-standard,1,queued,,kling-standard
krea-business,1,queued,,krea-business
krea-pro,1,queued,,krea-pro
lansweeper-pro,1,queued,,lansweeper-pro-2000-9000-devices
lansweeper-starter,1,queued,,lansweeper-starter-2000-devices
leonardo-apprentice,1,queued,,leonardo-apprentice
leonardo-artisan,1,queued,,leonardo-artisan
leonardo-maestro,1,queued,,leonardo-maestro
lovable-business,1,queued,,lovable-business
lovable-pro,1,queued,,lovable-pro
lumion-view,1,queued,,lumion-view
manageengine-servicedesk,1,done,,manageengine-servicedesk-standard-10
maxon-redgiant,1,done,,maxon-redgiant-teams
maxon-redshift,1,done,,maxon-redshift-teams
maxon-universe,1,done,,maxon-universe
maxon-zbrush,1,done,,maxon-zbrush-teams
me-access,1,done,,me-access-manager-plus-standard-5-users-and-unlimited-connections
me-appcreator,1,done,,me-appcreator-manageengine-essentials-base-pack
me-application,1,done,,me-application-control-plus-professional-100-workstations
me-assetexplorer,1,done,,me-assetexplorer-250-it-assets
me-browser,1,done,,me-browser-security-plus-professional-50-computers-and-single-user-license
me-cloud,1,done,,me-cloud-security-plus-1-cloud-account
me-device,1,done,,me-device-control-plus-professional-100-computers
me-fileanalysis,1,done,,me-fileanalysis-professional-2-tb
me-key,1,done,,me-key-manager-plus-25-keys
me-malware,1,done,,me-malware-protection-plus-enterprise-10-servers
me-ransomware,1,done,,me-ransomware-protection-plus-enterprise-10-servers
me-rmm,1,done,,me-rmm-central-enterprise-50-devices-with-1-user
