old_sku;new_sku;vendor;name;kind;product;plan;term;unit;variant
JB-PLG-mqtt-client-IND;JB-ADD-MQTTCLIENT-IND-1Y-USER;JetBrains;JetBrains MQTT Client (личная);ADD;MQTTCLIENT;IND;1Y;USER;
JB-PLG-magento-and-adobe-commerce-phpstorm-by-atwix-ORG;JB-ADD-MAGENTAACPBA-TEAM-1Y-USER;JetBrains;JetBrains Magento and Adobe Commerce PhpStorm by Atwix;ADD;MAGENTAACPBA;TEAM;1Y;USER;
JB-PLG-magento-and-adobe-commerce-phpstorm-by-atwix-IND;JB-ADD-MAGENTAACPBA-IND-1Y-USER;JetBrains;JetBrains Magento and Adobe Commerce PhpStorm by Atwix (личная);ADD;MAGENTAACPBA;IND;1Y;USER;
JB-PLG-magnolia-cms-integration-ORG;JB-ADD-MAGNOLCI-TEAM-1Y-USER;JetBrains;JetBrains Magnolia CMS Integration;ADD;MAGNOLCI;TEAM;1Y;USER;
JB-PLG-magnolia-cms-integration-IND;JB-ADD-MAGNOLCI-IND-1Y-USER;JetBrains;JetBrains Magnolia CMS Integration (личная);ADD;MAGNOLCI;IND;1Y;USER;
JB-PLG-magnolia-yaml-assistant-ORG;JB-ADD-MAGNOLYA-TEAM-1Y-USER;JetBrains;JetBrains Magnolia YAML Assistant;ADD;MAGNOLYA;TEAM;1Y;USER;
JB-PLG-magnolia-yaml-assistant-IND;JB-ADD-MAGNOLYA-IND-1Y-USER;JetBrains;JetBrains Magnolia YAML Assistant (личная);ADD;MAGNOLYA;IND;1Y;USER;
JB-PLG-manage-projects-ORG;JB-ADD-MANAGEP-TEAM-1Y-USER;JetBrains;JetBrains Manage Projects;ADD;MANAGEP;TEAM;1Y;USER;
JB-PLG-manage-projects-IND;JB-ADD-MANAGEP-IND-1Y-USER;JetBrains;JetBrains Manage Projects (личная);ADD;MANAGEP;IND;1Y;USER;
JB-PLG-material-theme-ui-ORG;JB-ADD-MATERITU-TEAM-1Y-USER;JetBrains;JetBrains Material Theme UI;ADD;MATERITU;TEAM;1Y;USER;
JB-PLG-material-theme-ui-IND;JB-ADD-MATERITU-IND-1Y-USER;JetBrains;JetBrains Material Theme UI (личная);ADD;MATERITU;IND;1Y;USER;
JB-PLG-material-theme-ui-custom-theme-ORG;JB-ADD-MATERITUCT-TEAM-1Y-USER;JetBrains;JetBrains Material Theme UI Custom Theme;ADD;MATERITUCT;TEAM;1Y;USER;
JB-PLG-material-theme-ui-custom-theme-IND;JB-ADD-MATERITUCT-IND-1Y-USER;JetBrains;JetBrains Material Theme UI Custom Theme (личная);ADD;MATERITUCT;IND;1Y;USER;
JB-PLG-material-theme-ui-extras-ORG;JB-ADD-MATERITUE-TEAM-1Y-USER;JetBrains;JetBrains Material Theme UI Extras;ADD;MATERITUE;TEAM;1Y;USER;
JB-PLG-material-theme-ui-extras-IND;JB-ADD-MATERITUE-IND-1Y-USER;JetBrains;JetBrains Material Theme UI Extras (личная);ADD;MATERITUE;IND;1Y;USER;
JB-PLG-material-theme-ui-high-contrast-ORG;JB-ADD-MATERITUHC-TEAM-1Y-USER;JetBrains;JetBrains Material Theme UI High Contrast;ADD;MATERITUHC;TEAM;1Y;USER;
JB-PLG-material-theme-ui-high-contrast-IND;JB-ADD-MATERITUHC-IND-1Y-USER;JetBrains;JetBrains Material Theme UI High Contrast (личная);ADD;MATERITUHC;IND;1Y;USER;
JB-PLG-material-theme-ui-language-additions-ORG;JB-ADD-MATERITULA-TEAM-1Y-USER;JetBrains;JetBrains Material Theme UI Language Additions;ADD;MATERITULA;TEAM;1Y;USER;
JB-PLG-material-theme-ui-language-additions-IND;JB-ADD-MATERITULA-IND-1Y-USER;JetBrains;JetBrains Material Theme UI Language Additions (личная);ADD;MATERITULA;IND;1Y;USER;
JB-PLG-material-theme-ui-project-frame-ORG;JB-ADD-MATERITUPF-TEAM-1Y-USER;JetBrains;JetBrains Material Theme UI Project Frame;ADD;MATERITUPF;TEAM;1Y;USER;
JB-PLG-material-theme-ui-project-frame-IND;JB-ADD-MATERITUPF-IND-1Y-USER;JetBrains;JetBrains Material Theme UI Project Frame (личная);ADD;MATERITUPF;IND;1Y;USER;
JB-PLG-matrix-hero-matlab-ide-ORG;JB-ADD-MATRIXHMI-TEAM-1Y-USER;JetBrains;JetBrains Matrix Hero - MATLAB IDE;ADD;MATRIXHMI;TEAM;1Y;USER;
JB-PLG-matrix-hero-matlab-ide-IND;JB-ADD-MATRIXHMI-IND-1Y-USER;JetBrains;JetBrains Matrix Hero - MATLAB IDE (личная);ADD;MATRIXHMI;IND;1Y;USER;
JB-PLG-maven-plug-in-extensions-IND;JB-ADD-MAVENPIE-IND-1Y-USER;JetBrains;JetBrains Maven Plug-in Extensions (личная);ADD;MAVENPIE;IND;1Y;USER;
JB-PLG-maven-search-pro-mpvp-ORG;JB-ADD-MAVENSPM-TEAM-1Y-USER;JetBrains;JetBrains Maven Search Pro(MPVP);ADD;MAVENSPM;TEAM;1Y;USER;
JB-PLG-maven-search-pro-mpvp-IND;JB-ADD-MAVENSPM-IND-1Y-USER;JetBrains;JetBrains Maven Search Pro(MPVP) (личная);ADD;MAVENSPM;IND;1Y;USER;
JB-PLG-maven-update-pro-mpvp-ORG;JB-ADD-MAVENUPM-TEAM-1Y-USER;JetBrains;JetBrains Maven Update Pro(MPVP);ADD;MAVENUPM;TEAM;1Y;USER;
JB-PLG-maven-update-pro-mpvp-IND;JB-ADD-MAVENUPM-IND-1Y-USER;JetBrains;JetBrains Maven Update Pro(MPVP) (личная);ADD;MAVENUPM;IND;1Y;USER;
JB-PLG-maven-with-me-pro-mpvp-ORG;JB-ADD-MAVENWMPM-TEAM-1Y-USER;JetBrains;JetBrains Maven With Me Pro(MPVP);ADD;MAVENWMPM;TEAM;1Y;USER;
JB-PLG-maven-with-me-pro-mpvp-IND;JB-ADD-MAVENWMPM-IND-1Y-USER;JetBrains;JetBrains Maven With Me Pro(MPVP) (личная);ADD;MAVENWMPM;IND;1Y;USER;
