vendor,product_name,product_slug,color_icon,monochrome_icon,rule
SOLIDWORKS,SOLIDWORKS Design Premium,solidworks-design-premium,svg/color/products/solidworks-product-color-512.svg,svg/monochrome/products/solidworks-product-monochrome-512.svg,Use the same generic short DS product icon for this SKU; choose 512/256/128 file according to display size.
SOLIDWORKS,SOLIDWORKS Design Premium с облачными сервисами (на устройство),solidworks-design-premium-cloud-services-device,svg/color/products/solidworks-product-color-512.svg,svg/monochrome/products/solidworks-product-monochrome-512.svg,Use the same generic short DS product icon for this SKU; choose 512/256/128 file according to display size.
SOLIDWORKS,SOLIDWORKS Design Professional,solidworks-design-professional,svg/color/products/solidworks-product-color-512.svg,svg/monochrome/products/solidworks-product-monochrome-512.svg,Use the same generic short DS product icon for this SKU; choose 512/256/128 file according to display size.
SOLIDWORKS,SOLIDWORKS Design Professional с облачными сервисами (на устройство),solidworks-design-professional-cloud-services-device,svg/color/products/solidworks-product-color-512.svg,svg/monochrome/products/solidworks-product-monochrome-512.svg,Use the same generic short DS product icon for this SKU; choose 512/256/128 file according to display size.
SOLIDWORKS,SOLIDWORKS Design Standard,solidworks-design-standard,svg/color/products/solidworks-product-color-512.svg,svg/monochrome/products/solidworks-product-monochrome-512.svg,Use the same generic short DS product icon for this SKU; choose 512/256/128 file according to display size.
SOLIDWORKS,SOLIDWORKS Design Standard с облачными сервисами (на устройство),solidworks-design-standard-cloud-services-device,svg/color/products/solidworks-product-color-512.svg,svg/monochrome/products/solidworks-product-monochrome-512.svg,Use the same generic short DS product icon for this SKU; choose 512/256/128 file according to display size.
SOLIDWORKS,SOLIDWORKS xDesign Online (годовая подписка),solidworks-xdesign-online-annual,svg/color/products/solidworks-product-color-512.svg,svg/monochrome/products/solidworks-product-monochrome-512.svg,Use the same generic short DS product icon for this SKU; choose 512/256/128 file according to display size.
SOLIDWORKS,SOLIDWORKS xDesign Online (квартальная подписка),solidworks-xdesign-online-quarterly,svg/color/products/solidworks-product-color-512.svg,svg/monochrome/products/solidworks-product-monochrome-512.svg,Use the same generic short DS product icon for this SKU; choose 512/256/128 file according to display size.
